city,state,2018_estimate,2010_census,change,2016_land_area1,2016_land_area2,2016_pop_den1,2016_pop_den2,loc
Seattle, Washington,"744,955","608,660",+22.39%,83.8 sq mi,217.0 km2,"8,405/sq mi","3,245/km2",47°37′14″N 122°21′03″W﻿ / ﻿47.6205°N 122.3509°W﻿ / 47.6205; -122.3509﻿ (20 Seattle)
Denver, Colorado,"716,492","600,158",+19.38%,153.3 sq mi,397.0 km2,"4,521/sq mi","1,746/km2",39°45′43″N 104°52′52″W﻿ / ﻿39.7619°N 104.8811°W﻿ / 39.7619; -104.8811﻿ (Denver)
"Washington, D.C.", District of Columbia,"702,455","601,723",+16.74%,61.1 sq mi,158.2 km2,"11,148/sq mi","4,304/km2","38°54′15″N 77°01′02″W﻿ / ﻿38.9041°N 77.0172°W﻿ / 38.9041; -77.0172﻿ (Washington, D.C.)"
Boston, Massachusetts,"694,583","617,594",+12.47%,48.3 sq mi,125.1 km2,"13,938/sq mi","5,381/km2",42°19′55″N 71°01′13″W﻿ / ﻿42.3320°N 71.0202°W﻿ / 42.3320; -71.0202﻿ (Boston)
El Paso, Texas,"682,669","649,121",+5.17%,256.8 sq mi,665.1 km2,"2,660/sq mi","1,030/km2",31°50′54″N 106°25′37″W﻿ / ﻿31.8484°N 106.4270°W﻿ / 31.8484; -106.4270﻿ (19 El Paso)
Detroit, Michigan,"672,662","713,777",−5.76%,138.8 sq mi,359.5 km2,"4,847/sq mi","1,871/km2",42°22′59″N 83°06′08″W﻿ / ﻿42.3830°N 83.1022°W﻿ / 42.3830; -83.1022﻿ (18 Detroit)
Nashville, Tennessee,"669,053","601,222",+11.28%,475.9 sq mi,"1,232.6 km2","1,388/sq mi",536/km2,36°10′18″N 86°47′06″W﻿ / ﻿36.1718°N 86.7850°W﻿ / 36.1718; -86.7850﻿ (Nashville)
Portland, Oregon,"653,115","583,776",+11.88%,133.5 sq mi,345.8 km2,"4,793/sq mi","1,851/km2",45°32′13″N 122°39′00″W﻿ / ﻿45.5370°N 122.6500°W﻿ / 45.5370; -122.6500﻿ (Portland)
Memphis, Tennessee,"650,618","646,889",+0.58%,317.4 sq mi,822.1 km2,"2,056/sq mi",794/km2,35°06′10″N 89°58′39″W﻿ / ﻿35.1028°N 89.9774°W﻿ / 35.1028; -89.9774﻿ (Memphis)
Oklahoma City, Oklahoma,"649,021","579,999",+11.90%,606.3 sq mi,"1,570.3 km2","1,053/sq mi",407/km2,35°28′02″N 97°30′49″W﻿ / ﻿35.4671°N 97.5137°W﻿ / 35.4671; -97.5137﻿ (Oklahoma City)
Las Vegas, Nevada,"644,644","583,756",+10.43%,134.4 sq mi,348.1 km2,"4,709/sq mi","1,818/km2",36°13′45″N 115°15′36″W﻿ / ﻿36.2292°N 115.2601°W﻿ / 36.2292; -115.2601﻿ (Las Vegas)
Louisville, Kentucky,"620,118","597,337",+3.81%,263.5 sq mi,682.5 km2,"2,339/sq mi",903/km2,38°09′55″N 85°38′51″W﻿ / ﻿38.1654°N 85.6474°W﻿ / 38.1654; -85.6474﻿ (Louisville)
Baltimore, Maryland,"602,495","620,961",−2.97%,80.9 sq mi,209.5 km2,"7,598/sq mi","2,934/km2",39°18′00″N 76°36′38″W﻿ / ﻿39.3000°N 76.6105°W﻿ / 39.3000; -76.6105﻿ (Baltimore)
Milwaukee, Wisconsin,"592,025","594,833",−0.47%,96.2 sq mi,249.2 km2,"6,186/sq mi","2,388/km2",43°03′48″N 87°58′00″W﻿ / ﻿43.0633°N 87.9667°W﻿ / 43.0633; -87.9667﻿ (Milwaukee)
Albuquerque, New Mexico,"560,218","545,852",+2.63%,188.2 sq mi,487.4 km2,"2,972/sq mi","1,147/km2",35°06′20″N 106°38′51″W﻿ / ﻿35.1056°N 106.6474°W﻿ / 35.1056; -106.6474﻿ (Albuquerque)
Tucson, Arizona,"545,975","520,116",+4.97%,230.8 sq mi,597.8 km2,"2,299/sq mi",888/km2,32°09′11″N 110°52′14″W﻿ / ﻿32.1531°N 110.8706°W﻿ / 32.1531; -110.8706﻿ (Tucson)
Fresno, California,"530,093","494,665",+7.16%,114.4 sq mi,296.3 km2,"4,563/sq mi","1,762/km2",36°47′01″N 119°47′36″W﻿ / ﻿36.7836°N 119.7934°W﻿ / 36.7836; -119.7934﻿ (Fresno)
Mesa, Arizona,"508,958","439,041",+15.92%,137.9 sq mi,357.2 km2,"3,514/sq mi","1,357/km2",33°24′07″N 111°43′03″W﻿ / ﻿33.4019°N 111.7174°W﻿ / 33.4019; -111.7174﻿ (Mesa)
Sacramento, California,"508,529","466,488",+9.01%,97.9 sq mi,253.6 km2,"5,059/sq mi","1,953/km2",38°34′00″N 121°28′07″W﻿ / ﻿38.5666°N 121.4686°W﻿ / 38.5666; -121.4686﻿ (Sacramento)
Atlanta, Georgia,"498,044","420,003",+18.58%,133.5 sq mi,345.8 km2,"3,539/sq mi","1,366/km2",33°45′46″N 84°25′22″W﻿ / ﻿33.7629°N 84.4227°W﻿ / 33.7629; -84.4227﻿ (Atlanta)
Kansas City, Missouri,"491,918","459,787",+6.99%,315.0 sq mi,815.8 km2,"1,528/sq mi",590/km2,"39°07′30″N 94°33′04″W﻿ / ﻿39.1251°N 94.5510°W﻿ / 39.1251; -94.5510﻿ (Kansas City, MO)"
Colorado Springs, Colorado,"472,688","416,427",+13.51%,195.6 sq mi,506.6 km2,"2,378/sq mi",918/km2,38°52′02″N 104°45′39″W﻿ / ﻿38.8673°N 104.7607°W﻿ / 38.8673; -104.7607﻿ (Colorado Springs)
Miami, Florida,"470,914","399,457",+17.89%,36.0 sq mi,93.2 km2,"12,599/sq mi","4,865/km2",25°46′31″N 80°12′31″W﻿ / ﻿25.7752°N 80.2086°W﻿ / 25.7752; -80.2086﻿ (Miami)
Raleigh, North Carolina,"469,298","403,892",+16.19%,145.1 sq mi,375.8 km2,"3,163/sq mi","1,221/km2",35°49′50″N 78°38′30″W﻿ / ﻿35.8306°N 78.6418°W﻿ / 35.8306; -78.6418﻿ (Raleigh)
Omaha, Nebraska,"468,262","408,958",+14.50%,133.2 sq mi,345.0 km2,"3,356/sq mi","1,296/km2",41°15′52″N 96°02′42″W﻿ / ﻿41.2644°N 96.0451°W﻿ / 41.2644; -96.0451﻿ (Omaha)
Long Beach, California,"467,354","462,257",+1.10%,50.3 sq mi,130.3 km2,"9,347/sq mi","3,609/km2",33°48′33″N 118°09′19″W﻿ / ﻿33.8092°N 118.1553°W﻿ / 33.8092; -118.1553﻿ (Long Beach)
Virginia Beach, Virginia,"450,189","437,994",+2.78%,244.7 sq mi,633.8 km2,"1,850/sq mi",710/km2,36°46′48″N 76°01′31″W﻿ / ﻿36.7800°N 76.0252°W﻿ / 36.7800; -76.0252﻿ (Virginia Beach)
Oakland, California,"429,082","390,724",+9.82%,55.9 sq mi,144.8 km2,"7,514/sq mi","2,901/km2",37°46′11″N 122°13′33″W﻿ / ﻿37.7698°N 122.2257°W﻿ / 37.7698; -122.2257﻿ (Oakland)
Minneapolis, Minnesota,"425,403","382,578",+11.19%,54.0 sq mi,139.9 km2,"7,660/sq mi","2,960/km2",44°57′48″N 93°16′06″W﻿ / ﻿44.9633°N 93.2683°W﻿ / 44.9633; -93.2683﻿ (Minneapolis)
Tulsa, Oklahoma,"400,669","391,906",+2.24%,196.8 sq mi,509.7 km2,"2,048/sq mi",791/km2,36°07′40″N 95°54′08″W﻿ / ﻿36.1279°N 95.9023°W﻿ / 36.1279; -95.9023﻿ (Tulsa)
Arlington, Texas,"398,112","365,438",+8.94%,95.8 sq mi,248.1 km2,"4,100/sq mi","1,600/km2",32°42′03″N 97°07′29″W﻿ / ﻿32.7007°N 97.1247°W﻿ / 32.7007; -97.1247﻿ (Arlington)
Tampa, Florida,"392,890","335,709",+17.03%,113.4 sq mi,293.7 km2,"3,326/sq mi","1,284/km2",27°58′12″N 82°28′47″W﻿ / ﻿27.9701°N 82.4797°W﻿ / 27.9701; -82.4797﻿ (Tampa)
New Orleans, Louisiana,"391,006","343,829",+13.72%,169.4 sq mi,438.7 km2,"2,311/sq mi",892/km2,30°03′12″N 89°56′04″W﻿ / ﻿30.0534°N 89.9345°W﻿ / 30.0534; -89.9345﻿ (New Orleans)
Wichita, Kansas,"389,255","382,368",+1.80%,160.4 sq mi,415.4 km2,"2,431/sq mi",939/km2,37°41′27″N 97°20′45″W﻿ / ﻿37.6907°N 97.3459°W﻿ / 37.6907; -97.3459﻿ (Wichita)
Cleveland, Ohio,"383,793","396,815",−3.28%,77.7 sq mi,201.2 km2,"4,965/sq mi","1,917/km2",41°28′43″N 81°40′46″W﻿ / ﻿41.4785°N 81.6794°W﻿ / 41.4785; -81.6794﻿ (Cleveland)
Bakersfield, California,"383,579","347,483",+10.39%,148.8 sq mi,385.4 km2,"2,529/sq mi",976/km2,35°19′16″N 119°01′06″W﻿ / ﻿35.3212°N 119.0183°W﻿ / 35.3212; -119.0183﻿ (Bakersfield)
Aurora, Colorado,"374,114","325,078",+15.08%,153.5 sq mi,397.6 km2,"2,356/sq mi",910/km2,39°41′17″N 104°41′23″W﻿ / ﻿39.6880°N 104.6897°W﻿ / 39.6880; -104.6897﻿ (Aurora)
Anaheim, California,"352,005","336,265",+4.68%,50.0 sq mi,129.5 km2,"7,021/sq mi","2,711/km2",33°51′20″N 117°45′36″W﻿ / ﻿33.8555°N 117.7601°W﻿ / 33.8555; -117.7601﻿ (Anaheim)
Honolulu, Hawaii,"347,397","337,256",+3.01%,60.5 sq mi,156.7 km2,"5,815/sq mi","2,245/km2",21°19′27″N 157°50′51″W﻿ / ﻿21.3243°N 157.8476°W﻿ / 21.3243; -157.8476﻿ (Honolulu)
Santa Ana, California,"332,725","324,528",+2.53%,27.1 sq mi,70.2 km2,"12,333/sq mi","4,762/km2",33°44′11″N 117°52′59″W﻿ / ﻿33.7363°N 117.8830°W﻿ / 33.7363; -117.8830﻿ (Santa Ana)
Riverside, California,"330,063","303,871",+8.62%,81.2 sq mi,210.3 km2,"3,999/sq mi","1,544/km2",33°56′17″N 117°23′36″W﻿ / ﻿33.9381°N 117.3932°W﻿ / 33.9381; -117.3932﻿ (Riverside)
Corpus Christi, Texas,"326,554","305,215",+6.99%,174.6 sq mi,452.2 km2,"1,866/sq mi",720/km2,27°45′15″N 97°10′24″W﻿ / ﻿27.7543°N 97.1734°W﻿ / 27.7543; -97.1734﻿ (Corpus Christi)
Lexington, Kentucky,"323,780","295,803",+9.46%,283.6 sq mi,734.5 km2,"1,123/sq mi",434/km2,38°02′27″N 84°27′30″W﻿ / ﻿38.0407°N 84.4583°W﻿ / 38.0407; -84.4583﻿ (Lexington)
Stockton, California,"311,178","291,707",+6.67%,61.7 sq mi,159.8 km2,"4,977/sq mi","1,922/km2",37°58′35″N 121°18′48″W﻿ / ﻿37.9763°N 121.3133°W﻿ / 37.9763; -121.3133﻿ (Stockton)
Henderson, Nevada,"310,390","257,729",+20.43%,104.7 sq mi,271.2 km2,"2,798/sq mi","1,080/km2",36°00′35″N 115°02′09″W﻿ / ﻿36.0097°N 115.0357°W﻿ / 36.0097; -115.0357﻿ (Henderson)
Saint Paul, Minnesota,"307,695","285,068",+7.94%,52.0 sq mi,134.7 km2,"5,815/sq mi","2,245/km2",44°56′56″N 93°06′15″W﻿ / ﻿44.9489°N 93.1041°W﻿ / 44.9489; -93.1041﻿ (Saint Paul)
St. Louis, Missouri,"302,838","319,294",−5.15%,62.0 sq mi,160.6 km2,"5,023/sq mi","1,939/km2",38°38′09″N 90°14′41″W﻿ / ﻿38.6357°N 90.2446°W﻿ / 38.6357; -90.2446﻿ (St. Louis)
Cincinnati, Ohio,"302,605","296,943",+1.91%,77.4 sq mi,200.5 km2,"3,860/sq mi","1,490/km2",39°08′25″N 84°30′21″W﻿ / ﻿39.1402°N 84.5058°W﻿ / 39.1402; -84.5058﻿ (Cincinnati)
Pittsburgh, Pennsylvania,"301,048","305,704",−1.52%,55.4 sq mi,143.5 km2,"5,481/sq mi","2,116/km2",40°26′23″N 79°58′36″W﻿ / ﻿40.4398°N 79.9766°W﻿ / 40.4398; -79.9766﻿ (Pittsburgh)
Greensboro, North Carolina,"294,722","269,666",+9.29%,128.3 sq mi,332.3 km2,"2,237/sq mi",864/km2,36°05′42″N 79°49′37″W﻿ / ﻿36.0951°N 79.8270°W﻿ / 36.0951; -79.8270﻿ (Greensboro)
Anchorage, Alaska,"291,538","291,826",−0.10%,"1,706.6 sq mi","4,420.1 km2",175/sq mi,68/km2,61°10′27″N 149°17′03″W﻿ / ﻿61.1743°N 149.2843°W﻿ / 61.1743; -149.2843﻿ (Anchorage)
Plano, Texas,"288,061","259,841",+10.86%,71.7 sq mi,185.7 km2,"3,990/sq mi","1,540/km2",33°03′03″N 96°44′52″W﻿ / ﻿33.0508°N 96.7479°W﻿ / 33.0508; -96.7479﻿ (Plano)
Lincoln, Nebraska,"287,401","258,379",+11.23%,92.1 sq mi,238.5 km2,"3,044/sq mi","1,175/km2",40°48′38″N 96°40′49″W﻿ / ﻿40.8105°N 96.6803°W﻿ / 40.8105; -96.6803﻿ (Lincoln)
Orlando, Florida,"285,713","238,300",+19.90%,105.2 sq mi,272.5 km2,"2,635/sq mi","1,017/km2",28°25′00″N 81°16′25″W﻿ / ﻿28.4166°N 81.2736°W﻿ / 28.4166; -81.2736﻿ (Orlando)
Irvine, California,"282,572","212,375",+33.05%,65.6 sq mi,169.9 km2,"4,057/sq mi","1,566/km2",33°40′42″N 117°46′17″W﻿ / ﻿33.6784°N 117.7713°W﻿ / 33.6784; -117.7713﻿ (Irvine)
Newark, New Jersey,"282,090","277,140",+1.79%,24.1 sq mi,62.4 km2,"11,691/sq mi","4,514/km2",40°43′27″N 74°10′21″W﻿ / ﻿40.7242°N 74.1726°W﻿ / 40.7242; -74.1726﻿ (Newark)
Toledo, Ohio,"274,975","287,208",−4.26%,80.7 sq mi,209.0 km2,"3,451/sq mi","1,332/km2",41°39′51″N 83°34′55″W﻿ / ﻿41.6641°N 83.5819°W﻿ / 41.6641; -83.5819﻿ (Toledo)
Durham, North Carolina,"274,291","228,330",+20.13%,109.8 sq mi,284.4 km2,"2,395/sq mi",925/km2,35°58′52″N 78°54′10″W﻿ / ﻿35.9811°N 78.9029°W﻿ / 35.9811; -78.9029﻿ (Durham)
Chula Vista, California,"271,651","243,916",+11.37%,49.6 sq mi,128.5 km2,"5,387/sq mi","2,080/km2",32°37′40″N 117°00′55″W﻿ / ﻿32.6277°N 117.0152°W﻿ / 32.6277; -117.0152﻿ (Chula Vista)
Fort Wayne, Indiana,"267,633","253,691",+5.50%,110.6 sq mi,286.5 km2,"2,391/sq mi",923/km2,41°05′18″N 85°08′38″W﻿ / ﻿41.0882°N 85.1439°W﻿ / 41.0882; -85.1439﻿ (Fort Wayne)
Jersey City, New Jersey,"265,549","247,597",+7.25%,14.8 sq mi,38.3 km2,"17,848/sq mi","6,891/km2",40°42′41″N 74°03′53″W﻿ / ﻿40.7114°N 74.0648°W﻿ / 40.7114; -74.0648﻿ (Jersey City)
St. Petersburg, Florida,"265,098","244,769",+8.31%,61.8 sq mi,160.1 km2,"4,223/sq mi","1,631/km2",27°45′43″N 82°38′39″W﻿ / ﻿27.7620°N 82.6441°W﻿ / 27.7620; -82.6441﻿ (St. Petersburg)
Laredo, Texas,"261,639","236,091",+10.82%,101.1 sq mi,261.8 km2,"2,544/sq mi",982/km2,27°33′37″N 99°29′21″W﻿ / ﻿27.5604°N 99.4892°W﻿ / 27.5604; -99.4892﻿ (Laredo)
Madison, Wisconsin,"258,054","233,209",+10.65%,77.0 sq mi,199.4 km2,"3,280/sq mi","1,270/km2",43°05′16″N 89°25′48″W﻿ / ﻿43.0878°N 89.4299°W﻿ / 43.0878; -89.4299﻿ (Madison)
Chandler, Arizona,"257,165","236,123",+8.91%,64.9 sq mi,168.1 km2,"3,813/sq mi","1,472/km2",33°16′58″N 111°51′18″W﻿ / ﻿33.2829°N 111.8549°W﻿ / 33.2829; -111.8549﻿ (Chandler)
Buffalo, New York,"256,304","261,310",−1.92%,40.4 sq mi,104.6 km2,"6,359/sq mi","2,455/km2",42°53′33″N 78°51′35″W﻿ / ﻿42.8925°N 78.8597°W﻿ / 42.8925; -78.8597﻿ (Buffalo)
Lubbock, Texas,"255,885","229,573",+11.46%,124.6 sq mi,322.7 km2,"2,027/sq mi",783/km2,33°33′56″N 101°53′12″W﻿ / ﻿33.5656°N 101.8867°W﻿ / 33.5656; -101.8867﻿ (Lubbock)
Scottsdale, Arizona,"255,310","217,385",+17.45%,183.9 sq mi,476.3 km2,"1,341/sq mi",518/km2,33°41′03″N 111°51′40″W﻿ / ﻿33.6843°N 111.8611°W﻿ / 33.6843; -111.8611﻿ (Scottsdale)
Reno, Nevada,"250,998","225,221",+11.45%,107.3 sq mi,277.9 km2,"2,286/sq mi",883/km2,39°32′57″N 119°51′00″W﻿ / ﻿39.5491°N 119.8499°W﻿ / 39.5491; -119.8499﻿ (Reno)
Glendale, Arizona,"250,702","226,721",+10.58%,59.1 sq mi,153.1 km2,"4,161/sq mi","1,607/km2",33°31′59″N 112°11′24″W﻿ / ﻿33.5331°N 112.1899°W﻿ / 33.5331; -112.1899﻿ (Glendale)
Gilbert, Arizona,"248,279","208,453",+19.11%,68.0 sq mi,176.1 km2,"3,487/sq mi","1,346/km2",33°18′37″N 111°44′35″W﻿ / ﻿33.3103°N 111.7431°W﻿ / 33.3103; -111.7431﻿ (Gilbert)
Winston–Salem, North Carolina,"246,328","229,617",+7.28%,132.5 sq mi,343.2 km2,"1,828/sq mi",706/km2,36°06′10″N 80°15′40″W﻿ / ﻿36.1027°N 80.2610°W﻿ / 36.1027; -80.2610﻿ (Winston-Salem)
North Las Vegas, Nevada,"245,949","216,961",+13.36%,98.0 sq mi,253.8 km2,"2,436/sq mi",941/km2,36°17′09″N 115°05′38″W﻿ / ﻿36.2857°N 115.0939°W﻿ / 36.2857; -115.0939﻿ (North Las Vegas)
Norfolk, Virginia,"244,076","242,803",+0.52%,53.3 sq mi,138.0 km2,"4,599/sq mi","1,776/km2",36°55′23″N 76°14′41″W﻿ / ﻿36.9230°N 76.2446°W﻿ / 36.9230; -76.2446﻿ (Norfolk)
Chesapeake, Virginia,"242,634","222,209",+9.19%,338.5 sq mi,876.7 km2,703/sq mi,271/km2,36°40′46″N 76°18′06″W﻿ / ﻿36.6794°N 76.3018°W﻿ / 36.6794; -76.3018﻿ (Chesapeake)
Garland, Texas,"242,507","226,876",+6.89%,57.0 sq mi,147.6 km2,"4,122/sq mi","1,592/km2",32°54′35″N 96°37′49″W﻿ / ﻿32.9098°N 96.6303°W﻿ / 32.9098; -96.6303﻿ (Garland)
Irving, Texas,"242,242","216,290",+12.00%,67.0 sq mi,173.5 km2,"3,557/sq mi","1,373/km2",32°51′28″N 96°58′12″W﻿ / ﻿32.8577°N 96.9700°W﻿ / 32.8577; -96.9700﻿ (Irving)
Hialeah, Florida,"238,942","224,669",+6.35%,21.5 sq mi,55.7 km2,"10,995/sq mi","4,245/km2",25°52′12″N 80°18′10″W﻿ / ﻿25.8699°N 80.3029°W﻿ / 25.8699; -80.3029﻿ (Hialeah)
Fremont, California,"237,807","214,089",+11.08%,77.5 sq mi,200.7 km2,"3,008/sq mi","1,161/km2",37°29′40″N 121°56′28″W﻿ / ﻿37.4945°N 121.9412°W﻿ / 37.4945; -121.9412﻿ (Fremont)
Boise, Idaho,"228,790","205,671",+11.24%,82.1 sq mi,212.6 km2,"2,718/sq mi","1,049/km2",43°36′01″N 116°13′54″W﻿ / ﻿43.6002°N 116.2317°W﻿ / 43.6002; -116.2317﻿ (Boise)
Richmond, Virginia,"228,783","204,214",+12.03%,59.8 sq mi,154.9 km2,"3,732/sq mi","1,441/km2",37°31′53″N 77°28′34″W﻿ / ﻿37.5314°N 77.4760°W﻿ / 37.5314; -77.4760﻿ (Richmond)
Baton Rouge, Louisiana,"221,599","229,493",−3.44%,85.9 sq mi,222.5 km2,"2,651/sq mi","1,024/km2",30°26′32″N 91°07′51″W﻿ / ﻿30.4422°N 91.1309°W﻿ / 30.4422; -91.1309﻿ (Baton Rouge)
Spokane, Washington,"219,190","208,916",+4.92%,68.7 sq mi,177.9 km2,"3,144/sq mi","1,214/km2",47°40′01″N 117°26′00″W﻿ / ﻿47.6669°N 117.4333°W﻿ / 47.6669; -117.4333﻿ (Spokane)
Des Moines, Iowa,"216,853","203,433",+6.60%,88.9 sq mi,230.2 km2,"2,424/sq mi",936/km2,41°34′21″N 93°36′37″W﻿ / ﻿41.5726°N 93.6102°W﻿ / 41.5726; -93.6102﻿ (Des Moines)
Tacoma, Washington,"216,279","198,397",+9.01%,49.7 sq mi,128.7 km2,"4,251/sq mi","1,641/km2",47°15′08″N 122°27′35″W﻿ / ﻿47.2522°N 122.4598°W﻿ / 47.2522; -122.4598﻿ (Tacoma)
San Bernardino, California,"215,941","209,924",+2.87%,61.5 sq mi,159.3 km2,"3,516/sq mi","1,358/km2",34°08′30″N 117°17′37″W﻿ / ﻿34.1416°N 117.2936°W﻿ / 34.1416; -117.2936﻿ (San Bernardino)
Modesto, California,"215,030","201,165",+6.89%,43.0 sq mi,111.4 km2,"4,934/sq mi","1,905/km2",37°38′15″N 121°00′11″W﻿ / ﻿37.6375°N 121.0030°W﻿ / 37.6375; -121.0030﻿ (Modesto)
Fontana, California,"213,739","196,069",+9.01%,43.0 sq mi,111.4 km2,"4,876/sq mi","1,883/km2",34°06′32″N 117°27′46″W﻿ / ﻿34.1090°N 117.4629°W﻿ / 34.1090; -117.4629﻿ (Fontana)
Santa Clarita, California,"210,089","176,320",+19.15%,52.8 sq mi,136.8 km2,"3,446/sq mi","1,331/km2",34°24′11″N 118°30′15″W﻿ / ﻿34.4030°N 118.5042°W﻿ / 34.4030; -118.5042﻿ (Santa Clarita)
Birmingham, Alabama,"209,880","212,237",−1.11%,146.1 sq mi,378.4 km2,"1,452/sq mi",561/km2,33°31′39″N 86°47′56″W﻿ / ﻿33.5274°N 86.7990°W﻿ / 33.5274; -86.7990﻿ (Birmingham)
Oxnard, California,"209,877","197,899",+6.05%,26.9 sq mi,69.7 km2,"7,729/sq mi","2,984/km2",34°12′08″N 119°12′17″W﻿ / ﻿34.2023°N 119.2046°W﻿ / 34.2023; -119.2046﻿ (Oxnard)
Fayetteville, North Carolina,"209,468","200,564",+4.44%,147.7 sq mi,382.5 km2,"1,386/sq mi",535/km2,35°04′58″N 78°58′25″W﻿ / ﻿35.0828°N 78.9735°W﻿ / 35.0828; -78.9735﻿ (Fayetteville)
Moreno Valley, California,"209,050","193,365",+8.11%,51.3 sq mi,132.9 km2,"4,006/sq mi","1,547/km2",33°55′24″N 117°12′21″W﻿ / ﻿33.9233°N 117.2057°W﻿ / 33.9233; -117.2057﻿ (Moreno Valley)
Rochester, New York,"206,284","210,565",−2.03%,35.8 sq mi,92.7 km2,"5,835/sq mi","2,253/km2",43°10′12″N 77°37′01″W﻿ / ﻿43.1699°N 77.6169°W﻿ / 43.1699; -77.6169﻿ (Rochester)
Glendale, California,"201,361","191,719",+5.03%,30.4 sq mi,78.7 km2,"6,606/sq mi","2,551/km2",34°10′53″N 118°14′45″W﻿ / ﻿34.1814°N 118.2458°W﻿ / 34.1814; -118.2458﻿ (Glendale)
